step,train_loss,val_loss
0,6.9675,6.9722
100,5.5442,5.5830
200,4.5395,4.6973
300,4.1806,4.3860
400,3.9241,4.1888
500,3.6809,4.0266
600,3.5458,3.9064
700,3.3884,3.8121
800,3.3106,3.7605
900,3.2823,3.7138
1000,3.1220,3.7170
1100,3.0855,3.6798
1200,3.0269,3.6530
1300,3.0181,3.6661
1400,2.9065,3.6889
1500,2.8580,3.6648
1600,2.8255,3.6818
1700,2.8173,3.6930
1800,2.7747,3.6567
1900,2.7710,3.6833
2000,2.7248,3.7052
2100,2.6772,3.6862
2200,2.5965,3.6813
2300,2.6689,3.7371
2400,2.6514,3.6999
2500,2.6261,3.7325
2600,2.6016,3.6937
2700,2.5758,3.7325
2800,2.5727,3.7180
2900,2.5693,3.7126
2999,2.5511,3.7270
